iter	Passed	Remaining
273	14381	11861
274	14438	11813
275	14492	11762
276	14541	11706
277	14601	11660
278	14660	11613
279	14711	11559
280	14758	11502
281	14805	11445
282	14862	11396
283	14919	11347
284	14989	11308
285	15042	11255
286	15095	11203
287	15148	11151
288	15213	11107
289	15261	11051
290	15315	10999
291	15365	10945
292	15421	10895
293	15473	10842
294	15519	10785
295	15570	10731
296	15622	10678
297	15672	10623
298	15723	10569
299	15775	10517
300	15829	10465
301	15887	10416
302	15941	10364
303	15990	10309
304	16042	10256
305	16105	10210
306	16161	10160
307	16224	10114
308	16284	10065
309	16343	10017
310	16398	9965
311	16452	9913
312	16507	9862
313	16567	9813
314	16624	9763
315	16683	9714
316	16731	9659
317	16786	9607
318	16835	9552
319	16889	9500
320	16939	9446
321	16988	9391
322	17034	9334
323	17084	9280
324	17130	9224
325	17171	9165
326	17221	9111
327	17265	9053
328	17315	8999
329	17355	8940
330	17398	8883
331	17444	8827
332	17484	8768
333	17522	8708
334	17575	8656
335	17617	8599
336	17663	8543
337	17712	8489
338	17772	8440
339	17818	8385
340	17870	8332
341	17919	8278
342	17973	8226
343	18026	8174
344	18066	8116
345	18107	8059
346	18161	8007
347	18204	7951
348	18260	7900
349	18308	7846
350	18351	7790
351	18398	7735
352	18440	7679
353	18483	7623
354	18534	7570
355	18586	7517
356	18634	7464
357	18678	7408
358	18731	7357
359	18780	7303
360	18823	7247
361	18866	7192
362	18914	7138
363	18966	7086
364	19015	7032
365	19065	6980
366	19117	6927
367	19169	6876
368	19219	6823
369	19273	6771
370	19322	6718
371	19370	6665
372	19414	6610
373	19457	6555
374	19513	6504
375	19559	6450
376	19609	6397
377	19663	6346
378	19712	6293
379	19761	6240
380	19810	6187
381	19865	6136
382	19912	6082
383	19970	6032
384	20021	5980
385	20070	5927
386	20111	5872
387	20152	5817
388	20192	5761
389	20234	5707
390	20285	5654
391	20332	5601
392	20382	5549
393	20425	5495
394	20469	5441
395	20520	5389
396	20567	5336
397	20619	5284
398	20668	5231
399	20721	5180
400	20770	5127
401	20819	5075
402	20873	5024
403	20918	4970
404	20963	4917
405	21006	4863
406	21053	4810
407	21093	4756
408	21143	4704
409	21189	4651
410	21238	4599
411	21279	4545
412	21327	4492
413	21370	4439
414	21413	4385
415	21469	4335
416	21512	4281
417	21564	4230
418	21611	4177
419	21657	4125
420	21706	4073
421	21751	4020
422	21799	3968
423	21843	3915
424	21892	3863
425	21939	3811
426	21983	3758
427	22029	3705
428	22075	3653
429	22122	3601
430	22174	3550
431	22232	3499
432	22274	3446
433	22322	3394
434	22372	3342
435	22420	3291
436	22472	3239
437	22521	3188
438	22566	3135
439	22608	3083
440	22653	3030
441	22696	2978
442	22750	2927
443	22792	2874
444	22842	2823
445	22880	2770
446	22932	2719
447	22981	2667
448	23036	2616
449	23089	2565
450	23141	2514
451	23192	2462
452	23239	2411
453	23280	2358
454	23333	2307
455	23380	2255
456	23420	2203
457	23462	2151
458	23510	2100
459	23563	2048
460	23610	1997
461	23658	1945
462	23712	1894
463	23764	1843
464	23814	1792
465	23862	1741
466	23906	1689
467	23948	1637
468	24000	1586
469	24053	1535
470	24103	1484
471	24160	1433
472	24213	1382
473	24259	1330
474	24309	1279
475	24355	1228
476	24398	1176
477	24448	1125
478	24498	1074
479	24550	1022
480	24603	971
481	24652	920
482	24674	868
483	24729	817
484	24771	766
485	24816	714
486	24872	663
487	24917	612
488	24960	561
489	25007	510
490	25064	459
491	25117	408
492	25170	357
493	25228	306
494	25280	255
495	25330	204
496	25387	153
497	25445	102
498	25501	51
499	25572	0
